id,score_anon,score_raw
169442621000034,1.0,1.0
169903921000017,19.0,19.0
170968224000010,1.0,1.0
172268424000006,,20.0
175283621000041,1.0,60.0
175392621000080,40.0,1.0
177151524000016,1.0,1.0
179098221000007,1.0,19.0
179478324000061,1.0,1.0
180507724000013,1.0,1.0
182893724000024,20.0,20.0
184606924000047,1.0,1.0
2891724000011,1.0,1.0
31815421000010,1.0,1.0
3478224000033,1.0,1.0
3521421000006,1.0,1.0
35254124000014,1.0,1.0
3926324000013,1.0,1.0
4661921000085,1.0,1.0
7233124000177,1.0,20.0
733221000016,1.0,1.0
75136421000018,1.0,1.0
76447821000024,19.0,19.0
78516124000009,1.0,
79461924000057,1.0,41.0
79894124000018,1.0,1.0
79923324000005,1.0,1.0
81367224000034,1.0,1.0
81979321000017,12.0,19.0
82705421000106,1.0,1.0
8281124000035,1.0,1.0
84263324000004,20.0,20.0
84986924000014,1.0,1.0
87401524000116,20.0,1.0
88390221000012,70.0,70.0
88933121000010,60.0,60.0
89512624000013,20.0,20.0
89541924000062,1.0,1.0
89662221000005,1.0,1.0
90616321000017,1.0,1.0
90831121000024,1.0,1.0
90910824000008,1.0,1.0
9157621000044,1.0,1.0
92480524000041,1.0,1.0
95017024015090,1.0,1.0
95017024015988,1.0,1.0
95017024018007,20.0,20.0
95017024018804,1.0,1.0
95017024019362,1.0,1.0
95017024023158,60.0,60.0
95017024023267,1.0,1.0
95017024026875,20.0,20.0
95017024030872,,1.0
95017024031494,1.0,1.0
95017024031497,1.0,1.0
95017024034730,1.0,1.0
95017024036814,1.0,1.0
95017024038046,1.0,20.0
95017024043875,1.0,1.0
95017024044237,1.0,1.0
95017024087843,1.0,1.0
95017024099489,1.0,1.0
