id,window,conm,filing_date,anon_path,raw_path
3926324000013,post,CULLEN/FROST BANKERS INC,2024-02-06,data/interim/anon/3926324000013.txt,data/raw/rf/3926324000013.txt
79894124000018,post,FIRST CITIZENS BANCSH  -CL A,2024-02-23,data/interim/anon/79894124000018.txt,data/raw/rf/79894124000018.txt
81367224000034,post,CADENCE DESIGN SYSTEMS INC,2024-02-14,data/interim/anon/81367224000034.txt,data/raw/rf/81367224000034.txt
8281124000035,post,REGAL REXNORD CORP,2024-02-26,data/interim/anon/8281124000035.txt,data/raw/rf/8281124000035.txt
84263324000004,post,TRIMAS CORP,2024-02-29,data/interim/anon/84263324000004.txt,data/raw/rf/84263324000004.txt
84986924000014,post,SILGAN HOLDINGS INC,2024-02-29,data/interim/anon/84986924000014.txt,data/raw/rf/84986924000014.txt
95017024015988,post,TRUSTMARK CORP,2024-02-15,data/interim/anon/95017024015988.txt,data/raw/rf/95017024015988.txt
95017024018007,post,GENTHERM INC,2024-02-21,data/interim/anon/95017024018007.txt,data/raw/rf/95017024018007.txt
95017024019362,post,ADEIA INC,2024-02-23,data/interim/anon/95017024019362.txt,data/raw/rf/95017024019362.txt
95017024023158,post,SEACOR MARINE HLDGS INC,2024-02-29,data/interim/anon/95017024023158.txt,data/raw/rf/95017024023158.txt
95017024023267,post,CBL & ASSOCIATES PPTYS INC,2024-02-29,data/interim/anon/95017024023267.txt,data/raw/rf/95017024023267.txt
95017024026875,post,TSCAN THERAPEUTICS INC,2024-03-06,data/interim/anon/95017024026875.txt,data/raw/rf/95017024026875.txt
95017024030872,post,TALKSPACE INC,2024-03-13,data/interim/anon/95017024030872.txt,data/raw/rf/95017024030872.txt
95017024031494,post,KEZAR LIFE SCIENCES,2024-03-14,data/interim/anon/95017024031494.txt,data/raw/rf/95017024031494.txt
95017024031497,post,TERNS PHARMACEUTIC INC,2024-03-14,data/interim/anon/95017024031497.txt,data/raw/rf/95017024031497.txt
95017024036814,post,AURA BIOSCIENCES INC,2024-03-27,data/interim/anon/95017024036814.txt,data/raw/rf/95017024036814.txt
95017024043875,post,ASTRONOVA INC,2024-04-12,data/interim/anon/95017024043875.txt,data/raw/rf/95017024043875.txt
95017024099489,post,SANFILIPPO JOHN B&SON,2024-08-21,data/interim/anon/95017024099489.txt,data/raw/rf/95017024099489.txt
102265221000017,pre,INSEEGO CORP,2021-03-01,data/interim/anon/102265221000017.txt,data/raw/rf/102265221000017.txt
119312520072309,pre,NORWOOD FINANCIAL CORP,2020-03-13,data/interim/anon/119312520072309.txt,data/raw/rf/119312520072309.txt
119312521094619,pre,CALIFORNIA BANCORP,2021-03-25,data/interim/anon/119312521094619.txt,data/raw/rf/119312521094619.txt
119312521273623,pre,IF BANCORP INC,2021-09-15,data/interim/anon/119312521273623.txt,data/raw/rf/119312521273623.txt
119380521000465,pre,GULF RESOURCES INC,2021-04-08,data/interim/anon/119380521000465.txt,data/raw/rf/119380521000465.txt
121390020003966,pre,NEBULA ACQUISITON CORP,2020-02-14,data/interim/anon/121390020003966.txt,data/raw/rf/121390020003966.txt
121390021021548,pre,LOVESAC CO (THE),2021-04-14,data/interim/anon/121390021021548.txt,data/raw/rf/121390021021548.txt
123981921000027,pre,LUNA INNOVATIONS INC,2021-03-12,data/interim/anon/123981921000027.txt,data/raw/rf/123981921000027.txt
131525520000029,pre,GTT COMMUNICATIONS INC,2020-03-02,data/interim/anon/131525520000029.txt,data/raw/rf/131525520000029.txt
143774921004299,pre,CATHAY GENERAL BANCORP,2021-03-01,data/interim/anon/143774921004299.txt,data/raw/rf/143774921004299.txt
143774921004453,pre,MARTEN TRANSPORT LTD,2021-03-01,data/interim/anon/143774921004453.txt,data/raw/rf/143774921004453.txt
143774921005111,pre,HMN FINANCIAL INC,2021-03-05,data/interim/anon/143774921005111.txt,data/raw/rf/143774921005111.txt
143774921006940,pre,MOLECULIN BIOTECH INC,2021-03-24,data/interim/anon/143774921006940.txt,data/raw/rf/143774921006940.txt
143774921007868,pre,OAK VALLEY BANCORP,2021-03-31,data/interim/anon/143774921007868.txt,data/raw/rf/143774921007868.txt
146715421000012,pre,NVN LIQUIDATION INC,2021-02-24,data/interim/anon/146715421000012.txt,data/raw/rf/146715421000012.txt
149315221005090,pre,NEPHROS INC,2021-03-01,data/interim/anon/149315221005090.txt,data/raw/rf/149315221005090.txt
149315221006648,pre,MARRONE BIO INNOVTIONS,2021-03-23,data/interim/anon/149315221006648.txt,data/raw/rf/149315221006648.txt
149315221008578,pre,GAUCHO GROUP HOLDINGS INC,2021-04-12,data/interim/anon/149315221008578.txt,data/raw/rf/149315221008578.txt
155837021001730,pre,ALBIREO PHARMA INC,2021-02-25,data/interim/anon/155837021001730.txt,data/raw/rf/155837021001730.txt
155837021001956,pre,RYMAN HOSPITALITY PPTYS INC,2021-02-26,data/interim/anon/155837021001956.txt,data/raw/rf/155837021001956.txt
155837021002943,pre,MONARCH CASINO & RESORT INC,2021-03-12,data/interim/anon/155837021002943.txt,data/raw/rf/155837021002943.txt
155837021003089,pre,ADAPTHEALTH CORP,2021-03-16,data/interim/anon/155837021003089.txt,data/raw/rf/155837021003089.txt
155837021003776,pre,PORCH GROUP INC,2021-03-31,data/interim/anon/155837021003776.txt,data/raw/rf/155837021003776.txt
156459019010210,pre,COMSTOCK HOLDING COS INC,2019-03-29,data/interim/anon/156459019010210.txt,data/raw/rf/156459019010210.txt
156459021004599,pre,TESLA INC,2021-02-08,data/interim/anon/156459021004599.txt,data/raw/rf/156459021004599.txt
156459021007197,pre,NEXPOINT RESIDENTIAL TR INC,2021-02-22,data/interim/anon/156459021007197.txt,data/raw/rf/156459021007197.txt
156459021008446,pre,GETTY REALTY CORP,2021-02-25,data/interim/anon/156459021008446.txt,data/raw/rf/156459021008446.txt
156459021012614,pre,GOODRX HLDGS INC,2021-03-12,data/interim/anon/156459021012614.txt,data/raw/rf/156459021012614.txt
156459021017062,pre,VERICITY INC,2021-03-31,data/interim/anon/156459021017062.txt,data/raw/rf/156459021017062.txt
156459021039550,pre,WORTHINGTON ENTERPRISES INC,2021-07-30,data/interim/anon/156459021039550.txt,data/raw/rf/156459021039550.txt
156459021046108,pre,KEARNY FINANCIAL CORP,2021-08-27,data/interim/anon/156459021046108.txt,data/raw/rf/156459021046108.txt
161068221000024,pre,USD PARTNERS LP,2021-03-04,data/interim/anon/161068221000024.txt,data/raw/rf/161068221000024.txt
162828019002280,pre,WILLIAM LYON HOMES,2019-02-28,data/interim/anon/162828019002280.txt,data/raw/rf/162828019002280.txt
162828021002433,pre,MARRIOTT INTL INC,2021-02-18,data/interim/anon/162828021002433.txt,data/raw/rf/162828021002433.txt
162828021005489,pre,DRIVEN BRANDS HOLDINGS INC,2021-03-24,data/interim/anon/162828021005489.txt,data/raw/rf/162828021005489.txt
162828021018059,pre,CANTALOUPE INC,2021-09-03,data/interim/anon/162828021018059.txt,data/raw/rf/162828021018059.txt
1673221000103,pre,CAMPBELL'S CO (THE),2021-09-23,data/interim/anon/1673221000103.txt,data/raw/rf/1673221000103.txt
168316821002707,pre,AETHLON MEDICAL INC,2021-06-24,data/interim/anon/168316821002707.txt,data/raw/rf/168316821002707.txt
169903921000017,pre,RANGER ENERGY SERVICES,2021-02-26,data/interim/anon/169903921000017.txt,data/raw/rf/169903921000017.txt
175392621000080,pre,CLEARONE INC,2021-03-31,data/interim/anon/175392621000080.txt,data/raw/rf/175392621000080.txt
31815421000010,pre,AMGEN INC,2021-02-09,data/interim/anon/31815421000010.txt,data/raw/rf/31815421000010.txt
733221000016,pre,SOUTHWESTERN ENERGY CO,2021-03-01,data/interim/anon/733221000016.txt,data/raw/rf/733221000016.txt
75136421000018,pre,NNN REIT INC,2021-02-11,data/interim/anon/75136421000018.txt,data/raw/rf/75136421000018.txt
76447821000024,pre,BEST BUY CO INC,2021-03-19,data/interim/anon/76447821000024.txt,data/raw/rf/76447821000024.txt
82705421000106,pre,MICROCHIP TECHNOLOGY INC,2021-05-18,data/interim/anon/82705421000106.txt,data/raw/rf/82705421000106.txt
88390221000012,pre,CORNERSTNE BULDNG BRNDS INC,2021-03-04,data/interim/anon/88390221000012.txt,data/raw/rf/88390221000012.txt
88933121000010,pre,LITTELFUSE INC,2021-02-18,data/interim/anon/88933121000010.txt,data/raw/rf/88933121000010.txt
89662221000005,pre,APTARGROUP INC,2021-02-19,data/interim/anon/89662221000005.txt,data/raw/rf/89662221000005.txt
90616321000017,pre,NVR INC,2021-02-12,data/interim/anon/90616321000017.txt,data/raw/rf/90616321000017.txt
9157621000044,pre,KEYCORP,2021-02-22,data/interim/anon/9157621000044.txt,data/raw/rf/9157621000044.txt
