signal,authors,journal,pubyear,sampstart,sampend,econ_cat,Sign,Return,T-Stat,risk_framed,risk_framed_narrow
DelNetFin,Richardson et al.,JAE,2005,1962,2001,investment alt,1.0,,5.85,0,0
DivInit,"Michaely, Thaler and Womack",JF,1995,1964,1988,payout indicator,1.0,0.625,3.37,0,0
DivOmit,"Michaely, Thaler and Womack",JF,1995,1964,1988,payout indicator,-1.0,0.916666667,6.33,0,0
DivSeason,Hartzmark and Salomon,JFE,2013,1927,2011,payout indicator,1.0,0.36,16.19363096,0,0
DivYieldST,Litzenberger and Ramaswamy,JFE,1979,1936,1977,valuation,1.0,,6.3,0,0
dNoa,"Hirshleifer, Hou, Teoh, Zhang",JAE,2004,1964,2002,investment,-1.0,,8.85,0,0
DolVol,"Brennan, Chordia, Subra",JFE,1998,1966,1995,volume,-1.0,,2.86,0,0
EarningsConsistency,Alwathainani,BAR,2009,1971,2002,earnings growth,1.0,0.360833333,2.67,0,0
EarningsForecastDisparity,Da and Warachka,JFE,2011,1983,2006,earnings forecast,-1.0,0.48,5.08,0,0
EarningsStreak,Loh and Warachka,MS,2012,1987,2009,earnings growth,1.0,0.957,9.51,0,0
EarningsSurprise,"Foster, Olsen and Shevlin",AR,1984,1974,1981,earnings growth,1.0,2.975,,0,0
EarnSupBig,Hou,RFS,2007,1972,2001,lead lag,1.0,,8.91,0,0
EBM,"Penman, Richardson and Tuna",JAR,2007,1963,2001,valuation,1.0,0.12,3.0,0,0
EntMult,Loughran and Wellman,JFQA,2011,1963,2009,valuation,-1.0,0.95,6.54,0,0
EP,Basu,JF,1977,1957,1971,valuation,1.0,0.58,,0,0
EquityDuration,"Dechow, Sloan and Soliman",RAS,2004,1962,1998,valuation,-1.0,0.5,4.368488219,0,0
ExchSwitch,Dharan and Ikenberry,JF,1995,1962,1990,other,-1.0,0.455,3.61,0,0
ExclExp,"Doyle, Lundholm and Soliman",RAS,2003,1988,1999,composite accounting,-1.0,,6.78,0,0
FEPS,"Cen, Wei, and Zhang",WP,2006,1983,2002,profitability,1.0,1.199,2.66,0,0
fgr5yrLag,La Porta,JF,1996,1983,1990,earnings forecast,-1.0,,4.9,0,0
FirmAgeMom,Zhang,JF,2006,1983,2001,momentum,1.0,2.9,7.21,0,0
ForecastDispersion,"Diether, Malloy and Scherbina",JF,2002,1976,2000,volatility,-1.0,0.79,2.88,1,1
Frontier,Nguyen and Swanson,JFQA,2009,1980,2003,valuation,1.0,0.96,4.863206041,0,0
Governance,"Gompers, Ishii and Metrick",QJE,2003,1990,1999,other,-1.0,0.72,2.769230769,0,0
GP,Novy-Marx,JFE,2013,1963,2010,profitability,1.0,0.31,2.49,0,0
GrAdExp,Lou,RFS,2014,1974,2010,investment alt,-1.0,0.58,3.54,0,0
grcapx,Anderson and Garcia-Feijoo,JF,2006,1976,1999,investment growth,-1.0,0.57,5.05,0,0
grcapx3y,Anderson and Garcia-Feijoo,JF,2006,1976,1999,investment growth,-1.0,0.6,4.71,0,0
Herf,Hou and Robinson,JF,2006,1963,2001,other,-1.0,0.26,2.14,0,0
HerfBE,Hou and Robinson,JF,2006,1963,2001,other,-1.0,0.24,2.52,0,0
hire,"Bazdresch, Belo and Lin",JPE,2014,1965,2010,investment alt,-1.0,0.87,5.78,0,0
IdioVol3F,Ang et al.,JF,2006,1963,2000,volatility,-1.0,1.06,3.1,1,1
IdioVolAHT,"Ali, Hwang, and Trombley",JFE,2003,1976,1997,volatility,-1.0,,2.699,1,1
Illiquidity,Amihud,JFM,2002,1964,1997,liquidity,1.0,,6.6,1,0
IndIPO,Ritter,JF,1991,1975,1987,external financing,-1.0,0.8525,3.97,0,0
IndMom,Grinblatt and Moskowitz,JF,1999,1963,1995,momentum,1.0,0.43,4.65,0,0
IndRetBig,Hou,RFS,2007,1972,2001,lead lag,1.0,,11.0,0,0
IntanBM,Daniel and Titman,JF,2006,1968,2003,long term reversal,-1.0,,3.99,0,0
IntanCFP,Daniel and Titman,JF,2006,1968,2003,long term reversal,-1.0,,4.89,0,0
IntanEP,Daniel and Titman,JF,2006,1968,2003,long term reversal,-1.0,,4.64,0,0
IntanSP,Daniel and Titman,JF,2006,1968,2003,long term reversal,-1.0,,4.24,0,0
IntMom,Novy-Marx,JFE,2012,1927,2010,momentum,1.0,1.2,5.79,0,0
Investment,"Titman, Wei and Xie",JFQA,2004,1973,1996,investment,-1.0,0.168333333,2.86,0,0
InvestPPEInv,"Lyandres, Sun and Zhang",RFS,2008,1970,2005,investment,-1.0,0.57,7.13,0,0
InvGrowth,Belo and Lin,RFS,2012,1965,2009,profitability,-1.0,0.89,6.64,0,0
iomom_cust,Menzly and Ozbas,JF,2010,1986,2005,lead lag,1.0,,4.11,0,0
iomom_supp,Menzly and Ozbas,JF,2010,1986,2005,lead lag,1.0,,5.03,0,0
Leverage,Bhandari,JF,1988,1952,1981,leverage,1.0,,3.93,0,0
LRreversal,De Bondt and Thaler,JF,1985,1929,1982,long term reversal,-1.0,0.105,3.29,0,0
MaxRet,"Bali, Cakici, and Whitelaw",JFE,2011,1962,2005,volatility,-1.0,1.03,2.83,1,1
MeanRankRevGrowth,"Lakonishok, Shleifer, Vishny",JF,1994,1968,1990,sales growth,1.0,,,0,0
Mom12m,Jegadeesh and Titman,JF,1993,1964,1989,momentum,1.0,1.31,3.74,0,0
Mom12mOffSeason,Heston and Sadka,JFE,2008,1965,2002,other,1.0,1.17,4.2,0,0
Mom6m,Jegadeesh and Titman,JF,1993,1964,1989,momentum,1.0,0.84,2.44,0,0
Mom6mJunk,Avramov et al,JF,2007,1985,2003,momentum,1.0,2.12,4.29,0,0
MomOffSeason,Heston and Sadka,JFE,2008,1965,2002,other,-1.0,1.25,5.6,0,0
MomOffSeason06YrPlus,Heston and Sadka,JFE,2008,1965,2002,other,-1.0,0.55,4.62,0,0
MomOffSeason16YrPlus,Heston and Sadka,JFE,2008,1965,2002,other,-1.0,0.39,3.35,0,0
MomRev,Chan and Ko,JOIM,2006,1965,2001,momentum,1.0,0.48,4.29,0,0
MomSeason,Heston and Sadka,JFE,2008,1965,2002,other,1.0,0.67,5.35,0,0
MomSeason06YrPlus,Heston and Sadka,JFE,2008,1965,2002,other,1.0,0.68,6.15,0,0
MomSeason11YrPlus,Heston and Sadka,JFE,2008,1965,2002,other,1.0,0.66,6.43,0,0
MomSeason16YrPlus,Heston and Sadka,JFE,2008,1965,2002,other,1.0,0.52,4.58,0,0
MomSeasonShort,Heston and Sadka,JFE,2008,1965,2002,other,1.0,1.15,7.6,0,0
MomVol,Lee and Swaminathan,JF,2000,1965,1995,momentum,1.0,1.55,5.78,0,0
MS,Mohanram,RAS,2005,1978,2001,composite accounting,1.0,1.575,9.14,0,0
NetDebtFinance,"Bradshaw, Richardson, Sloan",JAE,2006,1971,2000,external financing,-1.0,0.675,6.91,0,0
NetDebtPrice,"Penman, Richardson and Tuna",JAR,2007,1963,2001,leverage,-1.0,0.658333333,2.34,0,0
NetEquityFinance,"Bradshaw, Richardson, Sloan",JAE,2006,1971,2000,external financing,-1.0,0.93,3.82,0,0
NetPayoutYield,Boudoukh et al.,JF,2007,1984,2003,valuation,1.0,0.37,2.83,0,0
NOA,Hirshleifer et al.,JAE,2004,1964,2002,asset composition,-1.0,1.48,8.45,0,0
OPLeverage,Novy-Marx,ROF,2011,1963,2008,other,1.0,0.51,3.38,0,0
OptionVolume1,Johnson and So,JFE,2012,1996,2010,volume,-1.0,0.916,3.45,0,0
OrderBacklog,"Rajgopal, Shevlin, Venkatachalam",RAS,2003,1981,1999,sales growth,-1.0,,2.38,0,0
OrderBacklogChg,Baik and Ahn,Other,2007,1971,1999,accruals,1.0,1.1675,,0,0
OrgCap,Eisfeldt and Papanikolaou,JF,2013,1970,2008,R&D,1.0,0.385833333,2.85,0,0
OScore,Dichev,JF,1998,1981,1995,default risk,-1.0,1.17,3.36,1,1
PatentsRD,"Hirschleifer, Hsu and Li",JFE,2013,1982,2008,profitability alt,1.0,0.41,4.13,0,0
PayoutYield,Boudoukh et al.,JF,2007,1984,2003,valuation,1.0,0.28,3.92,0,0
PctAcc,"Hafzalla, Lundholm, Van Winkle",AR,2011,1989,2008,accruals,-1.0,0.97,3.29,0,0
PctTotAcc,"Hafzalla, Lundholm, Van Winkle",AR,2011,1989,2008,accruals,-1.0,0.71,3.29,0,0
Price,Blume and Husic,JF,1973,1932,1971,other,-1.0,,2.9,0,0
PriceDelayRsq,Hou and Moskowitz,RFS,2005,1964,2001,lead lag,1.0,0.31,3.4,0,0
PS,Piotroski,JAR,2000,1976,1996,composite accounting,1.0,1.958333333,5.594,0,0
RD,"Chan, Lakonishok and Sougiannis",JF,2001,1975,1995,R&D,1.0,0.8875,,0,0
RDAbility,"Cohen, Diether and Malloy",RFS,2013,1980,2009,other,1.0,1.35,2.61,0,0
RDcap,Li,RFS,2011,1980,2007,asset composition,1.0,0.69,2.64,0,0
RDIPO,"Gou, Lev and Shi",JBFA,2006,1980,1995,R&D,-1.0,0.76,2.68,0,0
RDS,Landsman et al.,AR,2011,1976,2003,composite accounting,1.0,0.333333333,5.84,0,0
RealizedVol,Ang et al.,JF,2006,1963,2000,volatility,-1.0,0.97,2.86,1,1
Recomm_ShortInterest,"Drake, Rees and Swanson",AR,2011,1994,2006,recommendation,1.0,1.11,4.09,0,0
ResidualMomentum,"Blitz, Huij and Martens",JEmpFin,2011,1930,2009,momentum,1.0,0.933333333,8.218550486,0,0
retConglomerate,Cohen and Lou,JFE,2012,1977,2009,lead lag,1.0,1.18,5.51,0,0
ReturnSkew,"Bali, Engle and Murray",Book,2015,1963,2012,risk,-1.0,0.47,4.01,1,1
ReturnSkew3F,"Bali, Engle and Murray",Book,2015,1963,2012,risk,-1.0,0.45,4.35,1,1
REV6,"Chan, Jegadeesh and Lakonishok",JF,1996,1977,1992,earnings forecast,1.0,,4.07,0,0
RevenueSurprise,Jegadeesh and Livnat,JAE,2006,1987,2003,sales growth,1.0,,,0,0
RIO_Disp,Nagel,JFE,2005,1980,2003,short sale constraints,1.0,0.54,2.47,0,0
RIO_MB,Nagel,JFE,2005,1980,2003,short sale constraints,1.0,1.07,4.91,0,0
RIO_Turnover,Nagel,JFE,2005,1980,2003,short sale constraints,1.0,0.92,2.71,0,0
RIO_Volatility,Nagel,JFE,2005,1980,2003,short sale constraints,1.0,1.07,4.38,0,0
RIVolSpread,Bali and Hovakimian,MS,2009,1996,2004,optionrisk,-1.0,0.732,2.9,1,1
roaq,"Balakrishnan, Bartov and Faurel",JAE,2010,1976,2005,profitability,1.0,0.841666667,6.45,0,0
sfe,"Elgers, Lo and Pfeiffer",AR,2001,1982,1998,valuation,1.0,1.466666667,4.99,0,0
ShareIss1Y,Pontiff and Woodgate,JF,2008,1970,2003,external financing,-1.0,,7.08,0,0
ShareIss5Y,Daniel and Titman,JF,2006,1968,2003,external financing,-1.0,,4.39,0,0
ShareVol,"Datar, Naik and Radcliffe",JFM,1998,1962,1991,volume,-1.0,,8.86,0,0
Size,Banz,JFE,1981,1926,1975,size,-1.0,1.01,3.07,0,0
SmileSlope,Yan,JFE,2011,1996,2005,optionrisk,-1.0,1.8,8.168,1,1
std_turn,"Chordia, Subra, Anshuman",JFE,2001,1966,1995,liquidity,-1.0,,3.74,1,0
STreversal,Jegadeesh,JF,1990,1934,1987,short-term reversal,-1.0,1.99,12.44,0,0
SurpriseRD,"Eberhart, Maxwell and Siddique",JF,2004,1974,2001,R&D,1.0,0.294,3.540083799,0,0
tang,Hahn and Lee,JF,2009,1973,2001,asset composition,1.0,,3.37,0,0
Tax,Lev and Nissim,AR,2004,1973,2000,other,1.0,,3.851,0,0
TotalAccruals,Richardson et al.,JAE,2005,1962,2001,investment alt,-1.0,,6.38,0,0
TrendFactor,"Han, Zhou, Zhu",JFE,2016,1930,2014,momentum,1.0,1.63,15.0,0,0
VolSD,"Chordia, Subra, Anshuman",JFE,2001,1966,1995,liquidity,-1.0,,3.56,1,0
XFIN,"Bradshaw, Richardson, Sloan",JAE,2006,1971,2000,external financing,-1.0,1.29,5.7,0,0
zerotrade6M,Liu,JFE,2006,1960,2003,liquidity,1.0,0.806,4.06,1,0
zerotrade1M,Liu,JFE,2006,1960,2003,liquidity,1.0,0.56,3.46,1,0
zerotrade12M,Liu,JFE,2006,1960,2003,liquidity,1.0,0.846,4.4,1,0
Activism2,Cremers and Nair,JF,2005,1990,2001,ownership,1.0,0.661666667,2.0,0,0
AdExp,"Chan, Lakonishok and Sougiannis",JF,2001,1975,1996,R&D,1.0,0.529166667,,0,0
AgeIPO,Ritter,JF,1991,1975,1987,other,1.0,0.972222222,,0,0
AnalystValue,Frankel and Lee,JAE,1998,1975,1993,valuation,1.0,0.258333333,,0,0
AOP,Frankel and Lee,JAE,1998,1975,1993,other,-1.0,0.275,,0,0
Beta,Fama and MacBeth,JPE,1973,1929,1968,risk,1.0,,2.57,1,1
BetaFP,Frazzini and Pedersen,JFE,2014,1929,2012,other,1.0,0.7,7.12,0,0
BidAskSpread,Amihud and Mendelson,JFE,1986,1961,1980,liquidity,1.0,,,1,0
BrandInvest,"Belo, Lin and Vitorino",RED,2014,1975,2010,investment alt,-1.0,0.435,2.01,0,0
ConsRecomm,Barber et al.,JF,2001,1985,1997,recommendation,-1.0,0.79,3.197,0,0
Coskewness,Harvey and Siddique,JF,2000,1964,1993,risk,-1.0,0.3,1.96,1,1
DebtIssuance,Spiess and Affleck-Graves,JFE,1999,1975,1989,external financing,-1.0,0.29,2.19,0,0
DelDRC,Prakash and Sinha,CAR,2013,2002,2007,investment alt,1.0,,3.59,0,0
DownRecomm,Barber et al.,JF,2001,1985,1997,earnings forecast,-1.0,,,0,0
FirmAge,Barry and Brown,JFE,1984,1931,1980,info proxy,-1.0,,2.48,0,0
FR,Franzoni and Marin,JF,2006,1980,2002,composite accounting,1.0,0.4875,,0,0
GrLTNOA,"Fairfield, Whisenant and Yohn",AR,2003,1964,1993,investment,1.0,0.61,,0,0
GrSaleToGrInv,Abarbanell and Bushee,AR,1998,1974,1988,sales growth,1.0,,2.372,0,0
GrSaleToGrOverhead,Abarbanell and Bushee,AR,1998,1974,1988,sales growth,1.0,,2.069,0,0
HerfAsset,Hou and Robinson,JF,2006,1963,2001,other,-1.0,0.2,2.12,0,0
High52,George and Hwang,JF,2004,1963,2001,momentum,1.0,0.45,2.0,0,0
IO_ShortInterest,Asquith Pathak and Ritter,JFE,2005,1980,2002,ownership,1.0,0.98,,0,0
MomOffSeason11YrPlus,Heston and Sadka,JFE,2008,1965,2002,other,-1.0,0.19,1.77,0,0
MRreversal,De Bondt and Thaler,JF,1985,1933,1980,long term reversal,-1.0,0.75,,0,0
NumEarnIncrease,Loh and Warachka,MS,2012,1987,2009,earnings growth,1.0,,,0,0
OperProf,Fama and French,JFE,2006,1977,2003,profitability,1.0,,2.55,0,0
OperProfRD,Ball et al.,JFE,2016,1963,2014,profitability,1.0,0.29,1.84,0,0
OptionVolume2,Johnson and So,JFE,2012,1996,2010,volume,-1.0,0.516,2.45,0,0
PredictedFE,Frankel and Lee,JAE,1998,1979,1993,earnings forecast,-1.0,,,0,0
PriceDelaySlope,Hou and Moskowitz,RFS,2005,1964,2001,lead lag,1.0,1.21,7.7,0,0
PriceDelayTstat,Hou and Moskowitz,RFS,2005,1964,2001,lead lag,1.0,1.1,7.39,0,0
ProbInformedTrading,"Easley, Hvidkjaer and O'Hara",JF,2002,1984,1998,liquidity,1.0,,2.496,1,0
realestate,Tuzel,RFS,2010,1971,2005,asset composition,1.0,0.244166667,1.8,0,0
RoE,Haugen and Baker,JFE,1996,1979,1993,profitability,1.0,,4.5,0,0
ShareRepurchase,"Ikenberry, Lakonishok, Vermaelen",JFE,1995,1980,1990,payout indicator,1.0,0.17,1.852179859,0,0
ShortInterest,Dechow et al.,JFE,2001,1976,1993,short sale constraints,-1.0,0.35,,0,0
sinAlgo,Hong and Kacperczyk,JFE,2009,1926,2006,other,1.0,0.3,2.0,0,0
skew1,"Xing, Zhang and Zhao",JFQA,2010,1996,2005,optionrisk,-1.0,0.64,2.19,1,1
SP,"Barbee, Mukherji and Raines",FAJ,1996,1979,1991,valuation,1.0,,2.52,0,0
Spinoff,"Cusatis, Miles and Woolridge",JFE,1993,1965,1988,other,1.0,2.083333333,2.43,0,0
UpRecomm,Barber et al.,JF,2001,1985,1997,earnings forecast,1.0,,,0,0
VarCF,Haugen and Baker,JFE,1996,1979,1993,cash flow risk,-1.0,,2.5,1,1
VolMkt,Haugen and Baker,JFE,1996,1979,1993,volume,-1.0,,4.0,0,0
VolumeTrend,Haugen and Baker,JFE,1996,1979,1993,volume,-1.0,,3.0,0,0
